timestamp,latitude,longitude,parameter,value,unit,geo_location_details,depth,data_source_name,data_source_details,station,valid_machine,valid_campaign,valid_human,access_level,id
2020-08-11 06:29:59 UTC,45.505183333333335,10.731178333333334,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,-1,-1,0,P,5f323ae983cfce2fa0744ab2
2020-08-11 06:29:59 UTC,45.505183333333335,10.731178333333334,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323ae983cfce2fa0744ab5
2020-08-11 06:30:00 UTC,45.505183333333335,10.731178333333334,dissolved_oxygen,8.69,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323ae983cfce2fa0744ab3
2020-08-11 06:30:00 UTC,45.505183333333335,10.731178333333334,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323ae983cfce2fa0744ab4
2020-08-11 06:30:00 UTC,45.505183333333335,10.731178333333334,electrical_conductivity,135.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323aea83cfce2fa0744ab6
2020-08-11 06:30:00 UTC,45.505183333333335,10.731178333333334,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323aea83cfce2fa0744ab9
2020-08-11 06:30:01 UTC,45.505183333333335,10.731178333333334,dissolved_oxygen,8.69,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323aea83cfce2fa0744ab7
2020-08-11 06:30:01 UTC,45.505183333333335,10.731178333333334,temperature,24.65,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323aea83cfce2fa0744ab8
2020-08-11 06:30:01 UTC,45.505183333333335,10.731178333333334,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323aeb83cfce2fa0744aba
2020-08-11 06:30:01 UTC,45.505183333333335,10.731178333333334,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323aeb83cfce2fa0744abd
2020-08-11 06:30:02 UTC,45.505183333333335,10.731178333333334,dissolved_oxygen,8.64,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323aeb83cfce2fa0744abb
2020-08-11 06:30:02 UTC,45.505183333333335,10.731178333333334,temperature,24.65,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323aeb83cfce2fa0744abc
2020-08-11 06:30:02 UTC,45.505183333333335,10.731178333333334,electrical_conductivity,131.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323aec83cfce2fa0744abe
2020-08-11 06:30:02 UTC,45.505183333333335,10.731178333333334,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323aec83cfce2fa0744ac1
2020-08-11 06:30:03 UTC,45.505183333333335,10.731176666666666,dissolved_oxygen,8.64,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323aec83cfce2fa0744abf
2020-08-11 06:30:03 UTC,45.505183333333335,10.731176666666666,temperature,24.67,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323aec83cfce2fa0744ac0
2020-08-11 06:30:03 UTC,45.505183333333335,10.731176666666666,electrical_conductivity,133.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323aee83cfce2fa0744ac6
2020-08-11 06:30:03 UTC,45.505183333333335,10.731176666666666,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323aee83cfce2fa0744ac9
2020-08-11 06:30:04 UTC,45.505183333333335,10.731176666666666,temperature,24.67,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323aee83cfce2fa0744ac8
2020-08-11 06:30:04 UTC,45.505183333333335,10.731176666666666,electrical_conductivity,134.837,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>nil, ""units""=>nil}",R00001,0,-1,0,P,5f32733a83cfce2fa07589da
2020-08-11 06:30:04 UTC,45.505183333333335,10.731176666666666,pH,1.7656,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>nil, ""units""=>nil}",R00001,0,-1,0,P,5f32735683cfce2fa07594cf
2020-08-11 06:30:04 UTC,45.505183333333335,10.731176666666666,dissolved_oxygen,8.74154,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>nil, ""units""=>nil}",R00001,0,-1,0,P,5f32737383cfce2fa075a01a
2020-08-11 06:30:05 UTC,45.505183333333335,10.731176666666666,electrical_conductivity,136.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323aef83cfce2fa0744aca
2020-08-11 06:30:05 UTC,45.505183333333335,10.731176666666666,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323aef83cfce2fa0744acd
2020-08-11 06:30:05 UTC,45.505183333333335,10.731176666666666,dissolved_oxygen,8.74154,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>nil, ""units""=>nil}",R00001,0,-1,0,P,5f32737383cfce2fa075a01b
2020-08-11 06:30:05 UTC,45.505183333333335,10.731176666666666,temperature,24.6539,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>nil, ""units""=>nil}",R00001,0,-1,0,P,5f32739083cfce2fa075ab45
2020-08-11 06:30:06 UTC,45.505183333333335,10.731176666666666,dissolved_oxygen,8.71,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323aef83cfce2fa0744acb
2020-08-11 06:30:06 UTC,45.505183333333335,10.731176666666666,temperature,24.65,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323aef83cfce2fa0744acc
2020-08-11 06:30:06 UTC,45.505183333333335,10.731176666666666,electrical_conductivity,132.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323af183cfce2fa0744ace
2020-08-11 06:30:06 UTC,45.505183333333335,10.731176666666666,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323af183cfce2fa0744ad1
2020-08-11 06:30:07 UTC,45.505183333333335,10.731176666666666,dissolved_oxygen,8.71,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323af183cfce2fa0744acf
2020-08-11 06:30:07 UTC,45.505183333333335,10.731176666666666,temperature,24.67,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323af183cfce2fa0744ad0
2020-08-11 06:30:07 UTC,45.505183333333335,10.731176666666666,electrical_conductivity,133.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323af283cfce2fa0744ad2
2020-08-11 06:30:07 UTC,45.505183333333335,10.731176666666666,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323af283cfce2fa0744ad5
2020-08-11 06:30:08 UTC,45.505183333333335,10.731176666666666,dissolved_oxygen,8.67,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323af283cfce2fa0744ad3
2020-08-11 06:30:08 UTC,45.505183333333335,10.731176666666666,temperature,24.67,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323af283cfce2fa0744ad4
2020-08-11 06:30:08 UTC,45.505183333333335,10.731176666666666,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323af383cfce2fa0744ad6
2020-08-11 06:30:08 UTC,45.505183333333335,10.731176666666666,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323af383cfce2fa0744ad9
2020-08-11 06:30:09 UTC,45.505183333333335,10.731175,dissolved_oxygen,8.67,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323af383cfce2fa0744ad7
2020-08-11 06:30:09 UTC,45.505183333333335,10.731175,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323af383cfce2fa0744ad8
2020-08-11 06:30:09 UTC,45.505183333333335,10.731175,electrical_conductivity,136.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323af483cfce2fa0744ada
2020-08-11 06:30:09 UTC,45.505183333333335,10.731175,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323af483cfce2fa0744add
2020-08-11 06:30:10 UTC,45.505183333333335,10.731175,dissolved_oxygen,8.75,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323af483cfce2fa0744adb
2020-08-11 06:30:10 UTC,45.505183333333335,10.731175,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323af583cfce2fa0744ade
2020-08-11 06:30:10 UTC,45.505183333333335,10.731175,temperature,24.67,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323af583cfce2fa0744ae0
2020-08-11 06:30:10 UTC,45.505183333333335,10.731175,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323af583cfce2fa0744ae1
2020-08-11 06:30:11 UTC,45.505183333333335,10.731175,electrical_conductivity,132.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323af683cfce2fa0744ae2
2020-08-11 06:30:11 UTC,45.505183333333335,10.731175,dissolved_oxygen,8.66,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323af683cfce2fa0744ae3
2020-08-11 06:30:11 UTC,45.505183333333335,10.731175,temperature,24.67,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323af683cfce2fa0744ae4
2020-08-11 06:30:11 UTC,45.505183333333335,10.731175,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323af683cfce2fa0744ae5
2020-08-11 06:30:12 UTC,45.505183333333335,10.731175,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323af783cfce2fa0744ae6
2020-08-11 06:30:12 UTC,45.505183333333335,10.731175,dissolved_oxygen,8.66,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323af783cfce2fa0744ae7
2020-08-11 06:30:12 UTC,45.505183333333335,10.731175,temperature,24.65,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323af783cfce2fa0744ae8
2020-08-11 06:30:12 UTC,45.505183333333335,10.731175,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323af783cfce2fa0744ae9
2020-08-11 06:30:13 UTC,45.505183333333335,10.731175,electrical_conductivity,136.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323af883cfce2fa0744aea
2020-08-11 06:30:13 UTC,45.505183333333335,10.731175,dissolved_oxygen,8.77,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323af883cfce2fa0744aeb
2020-08-11 06:30:13 UTC,45.505183333333335,10.731175,temperature,24.65,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323af883cfce2fa0744aec
2020-08-11 06:30:13 UTC,45.505183333333335,10.731175,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323af883cfce2fa0744aed
2020-08-11 06:30:14 UTC,45.505183333333335,10.731173333333333,electrical_conductivity,132.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323af983cfce2fa0744aef
2020-08-11 06:30:14 UTC,45.505183333333335,10.731173333333333,dissolved_oxygen,8.77,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323af983cfce2fa0744af0
2020-08-11 06:30:14 UTC,45.505183333333335,10.731173333333333,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323af983cfce2fa0744af1
2020-08-11 06:30:14 UTC,45.505183333333335,10.731173333333333,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323af983cfce2fa0744af2
2020-08-11 06:30:15 UTC,45.50519166666667,10.731173333333333,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323afa83cfce2fa0744af3
2020-08-11 06:30:15 UTC,45.50519166666667,10.731173333333333,dissolved_oxygen,8.68,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323afa83cfce2fa0744af4
2020-08-11 06:30:15 UTC,45.50519166666667,10.731173333333333,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323afa83cfce2fa0744af5
2020-08-11 06:30:15 UTC,45.50519166666667,10.731173333333333,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323afa83cfce2fa0744af6
2020-08-11 06:30:16 UTC,45.50519166666667,10.731173333333333,electrical_conductivity,135.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323afb83cfce2fa0744af7
2020-08-11 06:30:16 UTC,45.50519166666667,10.731173333333333,dissolved_oxygen,8.68,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323afb83cfce2fa0744af8
2020-08-11 06:30:16 UTC,45.50519166666667,10.731173333333333,temperature,24.65,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323afb83cfce2fa0744af9
2020-08-11 06:30:16 UTC,45.50519166666667,10.731173333333333,pH,1.76245,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>nil, ""units""=>nil}",R00001,0,-1,0,P,5f32735683cfce2fa07594db
2020-08-11 06:30:17 UTC,45.50519166666667,10.731173333333333,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323afb83cfce2fa0744afa
2020-08-11 06:30:17 UTC,45.50519166666667,10.731173333333333,electrical_conductivity,133.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323afc83cfce2fa0744afb
2020-08-11 06:30:17 UTC,45.50519166666667,10.731173333333333,dissolved_oxygen,8.67,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323afc83cfce2fa0744afc
2020-08-11 06:30:17 UTC,45.50519166666667,10.731173333333333,temperature,24.65,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323afc83cfce2fa0744afd
2020-08-11 06:30:18 UTC,45.50519166666667,10.73117,pH,1.77,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323afc83cfce2fa0744afe
2020-08-11 06:30:18 UTC,45.50519166666667,10.73117,electrical_conductivity,133.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323afd83cfce2fa0744aff
2020-08-11 06:30:18 UTC,45.50519166666667,10.73117,dissolved_oxygen,8.67,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323afd83cfce2fa0744b00
2020-08-11 06:30:18 UTC,45.50519166666667,10.73117,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323afd83cfce2fa0744b01
2020-08-11 06:30:19 UTC,45.50519166666667,10.73117,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323afd83cfce2fa0744b02
2020-08-11 06:30:19 UTC,45.50519166666667,10.73117,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323afe83cfce2fa0744b03
2020-08-11 06:30:19 UTC,45.50519166666667,10.73117,dissolved_oxygen,8.66,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323afe83cfce2fa0744b04
2020-08-11 06:30:19 UTC,45.50519166666667,10.73117,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323afe83cfce2fa0744b05
2020-08-11 06:30:20 UTC,45.50519166666667,10.73117,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323afe83cfce2fa0744b06
2020-08-11 06:30:20 UTC,45.50519166666667,10.73117,electrical_conductivity,135.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323aff83cfce2fa0744b07
2020-08-11 06:30:20 UTC,45.50519166666667,10.73117,dissolved_oxygen,8.66,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323aff83cfce2fa0744b08
2020-08-11 06:30:20 UTC,45.50519166666667,10.73117,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323aff83cfce2fa0744b09
2020-08-11 06:30:21 UTC,45.50519166666667,10.73117,pH,1.76,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323aff83cfce2fa0744b0a
2020-08-11 06:30:21 UTC,45.50519166666667,10.73117,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323b0083cfce2fa0744b0b
2020-08-11 06:30:21 UTC,45.50519166666667,10.73117,dissolved_oxygen,8.73,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323b0083cfce2fa0744b0c
2020-08-11 06:30:21 UTC,45.50519166666667,10.73117,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323b0083cfce2fa0744b0d
2020-08-11 06:30:22 UTC,45.50519166666667,10.731168333333333,pH,1.8,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323b0083cfce2fa0744b0e
2020-08-11 06:30:22 UTC,45.50519166666667,10.731168333333333,electrical_conductivity,136.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323b0183cfce2fa0744b0f
2020-08-11 06:30:22 UTC,45.50519166666667,10.731168333333333,dissolved_oxygen,8.73,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323b0183cfce2fa0744b10
2020-08-11 06:30:22 UTC,45.50519166666667,10.731168333333333,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323b0183cfce2fa0744b11
2020-08-11 06:30:23 UTC,45.50519166666667,10.731168333333333,pH,1.82,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323b0183cfce2fa0744b12
2020-08-11 06:30:23 UTC,45.50519166666667,10.731168333333333,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323b0283cfce2fa0744b13
2020-08-11 06:30:23 UTC,45.50519166666667,10.731168333333333,dissolved_oxygen,8.53,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323b0283cfce2fa0744b14
2020-08-11 06:30:23 UTC,45.50519166666667,10.731168333333333,temperature,24.66,celsius,"{""hdop""=>nil}",,BB.R00001.mo2001022-Temperature,"{""sensor_name""=>""mo2001022"", ""units""=>""°C""}",R00001,0,-1,0,P,5f323b0283cfce2fa0744b15
2020-08-11 06:30:24 UTC,45.50519166666667,10.731165,pH,1.81,"","{""hdop""=>nil}",,BB.R00001.mph001061-pH,"{""sensor_name""=>""mph001061"", ""units""=>""""}",R00001,-1,-1,0,P,5f323b0283cfce2fa0744b16
2020-08-11 06:30:24 UTC,45.50519166666667,10.731165,electrical_conductivity,134.0,uS/cm,"{""hdop""=>nil}",,BB.R00001.00R000011-Conductivity,"{""sensor_name""=>""00R000011"", ""units""=>""µS""}",R00001,0,-1,0,P,5f323b0383cfce2fa0744b17
2020-08-11 06:30:24 UTC,45.50519166666667,10.731165,dissolved_oxygen,8.53,mg/l,"{""hdop""=>nil}",,BB.R00001.mo2001021-O2,"{""sensor_name""=>""mo2001021"", ""units""=>""mg/l""}",R00001,0,-1,0,P,5f323b0383cfce2fa0744b18
